367151450,2022-01-01T00:00:55,29.36067,-94.78003,6.1,204.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:02:05,29.35838,-94.78039,8.2,179.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:03:14,29.35546,-94.78009,9.5,175.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:05:33,29.34963,-94.77837,8.3,148.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:04:24,29.35245,-94.77948,9.3,163.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:07:53,29.34704,-94.77321,6.7,124.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:06:44,29.34813,-94.77568,8.9,113.3,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:10:05,29.34258,-94.77084,10.5,197.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:08:54,29.34567,-94.77131,9.0,138.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:12:25,29.33597,-94.77351,10.6,195.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:11:13,29.33943,-94.77224,10.9,201.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:14:44,29.33073,-94.77517,7.9,194.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:17:05,29.32796,-94.77423,3.5,127.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:13:35,29.33320,-94.77450,7.7,196.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:15:54,29.32882,-94.77520,3.3,148.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
