367667790,2022-01-05T16:12:03,38.30000,-85.67655,0.0,354.4,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:17:35,38.29999,-85.67656,0.0,21.7,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:22:03,38.29998,-85.67656,0.0,31.4,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:24:13,38.29989,-85.67644,0.6,164.2,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:26:24,38.29900,-85.67745,0.6,208.5,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:14:14,38.29999,-85.67655,0.0,8.5,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:29:44,38.29928,-85.67710,0.6,332.6,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:19:53,38.30001,-85.67657,0.1,19.7,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:20:54,38.29998,-85.67656,0.0,23.4,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:15:15,38.30000,-85.67654,0.1,12.3,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:34:13,38.29997,-85.67657,0.4,29.8,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:18:44,38.30000,-85.67654,0.0,20.7,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:36:23,38.30000,-85.67649,0.1,105.4,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:27:34,38.29911,-85.67706,1.3,68.9,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:25:14,38.29952,-85.67687,2.9,228.2,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:28:43,38.29914,-85.67689,0.6,226.0,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:30:54,38.29942,-85.67696,0.8,35.7,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:35:14,38.30000,-85.67654,0.1,45.3,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:13:04,38.30000,-85.67655,0.0,5.6,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:16:24,38.29998,-85.67655,0.0,24.4,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:23:04,38.29998,-85.67656,0.1,37.3,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:31:55,38.29966,-85.67684,0.9,20.3,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
367667790,2022-01-05T16:33:04,38.29989,-85.67667,0.6,48.7,511.0,CRYSTAL; LEIGH; MAE,,WDH9413,31,12,18,,,31,A
